name,brand,review_title,review_description,recommended_review,verifed_purchaser,helpful_count,not_helpful_count,reviewed_at,rating,average_rating,reviews_count
Yoshi's Crafted World - Nintendo Switch,Nintendo,Amazing!,"This game is amazing! Almost had given up on the Switch, but this game saved that from happening! It's a great game for people of all ages!",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Tank Yoshi and the layered egg aiming,"Fun and cute, but some of the mechanics don't work that well (Tank Yoshi and the mutil-layer egg aiming). Still fun, but needs improvement in the mentioned areas. See Caddicarus' analysis.",No: I don’t recommend this product,Verified Purchaser,1,0,2 years ago,3.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi's Crafted World,It's awesome! The graphics make everything look like cardboard!,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Good,"Fun title that is a good installment to the series. A little bit easy to beat, but has plenty of extras to keep entertained while going for that 100%",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Super awesome,"This game was fir my youngest, he picked it out from good reviews online.",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,1 or 2 player fun!,"It can be 1 or 2 players. It’s pretty simple mechanics, but there are so many creative was to use them. And there is a lot of replay ability. Me and wife have a blast.",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Game play,It’s a game that’s for kids and for adults to enjoy,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Fun repeat play factor,"My wife loves it. She even lets me play the co-op mode with her sometimes. I’m not that into gaming, but this game is really fun!",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Awesome!,This game has amazing graphics and amazing levels.,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Family time,It fun for your family and if you have kids they will enjoy hours of fun,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi Fun!,"I loved the Yoshi yarn game on the 3DS & I love the New Yoshi Yarn game on the switch.
More color Yoshi’s to choose from and a forward and backwards game in every course. It’s a lovable game to play!",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Awesome,Great game love every minute of it fun and entertaining,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Great game!,Excellent condition. Awesome game. My fiance is enjoying it a lot.,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi's crafted world,One of the best games I've played in a while absolutely beautiful ❤️,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,gud,"10/10, it is a very creative, thinking out of the box game, it might be a bit easy, but it is fun to and I will 100% it even if it's the last thing I do.",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi's Crafted World... Buy it TODAY,"OMG, this is the ultimate of fun, silly, fantasy escapism. Sit back, relax, and give yourself an hour to let Yoshi explore the hand-made world of tape, cardboard, and pipe cleaners",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Classic,Takes me back to the 90's. Thank you Nintendo! and thank you GameStop for always having great prices and what I want in stock!,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi's crafted world is fun,really cute game and its pretty easy for the non gamer . its great to have a son who can help you too,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi's Crafted World,"Awesome, love this character! Love the whole game!!!",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,"Easy to pick up, hard to master",Excellent for a relaxing time. Can be challenging if you want to %100 every level.,No: I don’t recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Fun new twist on a Yoshi,Fun and exciting game if you like Yoshi and his classic games,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi's Crafted World,"The game is adorable, the music isn't ear-splitting, and the levels themselves are fun. However, it ends up becoming a chore if you intend to 100% the game with multiple scavenger hunts per stage with a flip-side that is dedicated to finding three dogs under a certain amount of time for the full reward. Ultimately, it's cute and full of heart, but is not recommended to just sit down and 100% in one sitting. It's quick, easy fun enjoyable in small bursts either alone or with a friend.",No: I don’t recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,It’s okay,I’m not a big gamer. I was so excited when this came out I had to get it. I guess I just expected more,No: I don’t recommend this product,Verified Purchaser,0,1,2 years ago,3.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,A Unique 3D Adventure that's hard to resist,Nostalgically entertaining and unique 3D adventure that will make it hard for you to put the controller down,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Cute Yoshi game,"Bought this game for my 12 yr old's birthday.  He really likes to play in multiplayer mode with me.  Definitely fun bonding time!  So far it has been fairly easy to finish each section, without being too easy (working together helps).  I do hope it gets a little harder as we get a little further in.",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Not bad,"Good to see Yoshi on the switch, but it is a slight step down from Yoshi‘s woolly world",yes: I recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,A wonderful game,Truly amazing. The art style is unique and the gameplay is equally fun as it is relaxing and rewarding.,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi,I got this game so me and my gf can play together. Its fun and quirky but gets challenging,yes: I recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Supreme Commander 2,Square Enix,Great Game!,"Some folks didn't like this game....thought it didn't measure up to the original or Forged Alliance. Boy, are they wrong! I thought this game was great! Maybe the tech tree is a tiny bit smaller, but the game more than makes up for it with new, cool units, great graphics and effects, and awesome explosions. In fairness, I was a little perturbed that that more than one engineer cannot build on the same structure, as in the previous games, but then again, the structures go up pretty quick. Happy hunting!",yes: I recommend this product,,2,0,7 years ago,4.0,3.4091,22
Supreme Commander 2,Square Enix,Great game.,Great game. Nothing bad about it. It has many great features and story mode is cool. I think it is awesome.,yes: I recommend this product,,2,0,9 years ago,5.0,3.4091,22
Supreme Commander 2,Square Enix,Not as good as it looks,"there is no infantry, which annoys me a lot because i like the classic infantry, cavalry(armor), artillary idea. The Steam engine is annoying, its really laggy and slow, there are like 5 real units per race and then everything else is an experimental which i really dont like since they are impossible to kill and one experimental unit can kil 10 regular without even trying. The AI is ok but they are just annoying, the game is really confusing and not very fun. I have to get updates everytime i want to play, even when i dont play it online at all, I hate patches. The upgrade trees are wierd and require research to get, which takes forever. Overall this game isnt good, Starcraft 2 is much better if your looking for an RTS and Shogun Total War is also really good. Just dont get this.",No: I don’t recommend this product,,0,5,9 years ago,2.0,3.4091,22
Supreme Commander 2,Square Enix,I don't see how people can't like it,"This game, in my opinion, is WAAY better than C&C and is very good in gameplay and everything else. Some people say that he storyline is horrible, but that doesn't really effect me since I just play on the skirmish and online. The story line isn't really a big concern. I just play it when I'm bored.",yes: I recommend this product,,5,1,10 years ago,5.0,3.4091,22
Supreme Commander 2,Square Enix,Great...but...,"The story is extremely slow and confusing until you get later into it. It forces you to play as a certain faction first, then another and end with the Cybrans. You should definitely try out the originals, they are ten times better then this. Overall, the gameplay is about the same as the last game, the graphics are much better and the sound and music is again amazing. However, the story development needs more work.",No: I don’t recommend this product,,0,0,10 years ago,4.0,3.4091,22
Supreme Commander 2,Square Enix,"look out gamerz, here comez awsome","alright here comes the best game eva, anyway herz a shout out to all of the peeps that think this game is the best eva u rock 4 ur good reviews. anyway the graphics might not be as good as the first but the graphics to me doesn't matter at all since the campaign is awsome and a good storyline. along with the campaign the units and multiplayer maps and experimentals and ect. but i honestly i think the unit count is very low there should be a higher unit count because people have things to do units to make and probably alot of them too and places 4 them to go like in others bases and stuff.",yes: I recommend this product,,1,0,10 years ago,5.0,3.4091,22
Supreme Commander 2,Square Enix,Best RTS game made so far,"This game is the absolute best RTS game you can play. And I have played alot of RTS games, so I know what I'm talking about. This game has very good graphics, and they will be even more enjoyable the more you paly the game, considering that you notice things like shadows cast by the terrain, and details such as distortion coming out of a walkers exhaust pipes. This game also has an amazing command system. There are more controls and options you can use to make your army do anything imaginable. This game also includes extra experimental weapons, which they balanced much better than on the first one, and actually have a general purpose rather than to walk into the enemies base and kill. And most people have heard that the nukes on the second ones are pitiful compared to the first. The difference is that on the first one, it was a bright light and smoke covering a large area of the map. On this one, it might be only a little bit smaller, but it is insanely detailed, in the fact that an extremely large portion of the map gets lit up in red, and things are actually moving with the explosion as they would in real life. When it touches water it makes steam and jets it into the air, so nukes on this one are much more enjoyable to watch, regardless of what you've heard. All in all, 10 stars.",yes: I recommend this product,,6,0,11 years ago,5.0,3.4091,22
Supreme Commander 2,Square Enix,Awesome,"I don't know why people don't like this game, because if you like real-time strategy or RTS, this is the game to get.                                                                                                                                                                                                      I usually only play online and play skirmishes to get better or if no one is as good as me because I can destroy anyone.                                                                                                                                                                                                  I am a veteran at Call of Duty Modern Warfare 1 and 2 so don't try and kill me or fight me.",yes: I recommend this product,,2,11,11 years ago,4.0,3.4091,22
Supreme Commander 2,Square Enix,"good, but a little disappointed","What Gas Powered Games have done here is amazing, this game is packed with more units, new features, less glitches, and a lot more excitment. what i was really taken with is that there is no +mass or -mass anymore, its all based on real numbers. the tech tree feature is amazing, allowing you to upgrade old units to make them more lethal later in the game. a lot of the good things are still their like the cybran ships being able to crawl onto land. however, the story is disappointing, character extremely lack any sort of personality and emotions. also, for high end computers, this game has surprising lower graphics, units like the UEF titan look a little bit more like legos, even though some units have good deatil, others are flat out bad, although you have to appreciate that they are trying to let computers with lower hardware able to run this game. online play and skirmish mode are fun.",yes: I recommend this product,,2,1,11 years ago,4.0,3.4091,22
Supreme Commander 2,Square Enix,SC2? or sometihng completely  different?,"Supreme Commander 2 is different than it's ""predecessors"", i say it should just have a completely different name slapped onto it. Then i would of not had any quarrels with it, because i wouldn't be expecting something so different than what i knew. Now i own both of the ""previous"" games and they are both excellent, and so when i found out about this ""sequel"" i ran out and bought it with out much looking into it, i knew it had a different maker but i figured how bad could they have possibly made it... i mean it's Square Enix! Now don't get me wrong it is a good game, but i was expecting to buy SC2... Not SC2 revamped... i couldn't just jump into it, i had to learn the new feel to the game. In SC2 you now get to your good units by having to research most of them, and experimental units are really not that great, yea they are all based of the old games models but i think that most kinda suck comparatively... like the experimental units, for so called ""game breakers"" as they were know for in the old games, u can make them with very little ease and there not nearly as effective as they use to be.... which i guess is the trade off for it, but even hordes of units can crumble in no time it seems.  Regular units are just knock offs of the original ones and are only really good when you upgrade them via research.  However i do think the research is a cleaver aspect of the game and the brand new units/structures that were added are a nice touch, but it does usually take awhile to get to them in the research tree even with the research facilities which u can build to increase research income.  completely  Also the variety of units is gone there use to be at least 2 sets of everything... a lower cost, lower tech versions, and the higher end units, which i prefer the variety of them because they all had there uses, lower tech units could be used as cannon fodder, as your high end tech marches on, or even if you had to come up with an army quickly.  All that said i do still play it as i've gotten use to it, but i am still disappointed, if you are looking for something different to play with a somwhat familiar story, then you would like the game play; especially online to which it seems that it was made for, but if your expecting the feel of the original game then i would say go play one of the old ones...",No: I don’t recommend this product,,2,1,11 years ago,3.0,3.4091,22
Yoshi's Crafted World - Nintendo Switch,Nintendo,Crafted Family Fun,2 player fun for dad and 10 year old. Replay value is high with extra modes after completion.,yes: I recommend this product,Verified Purchaser,2,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,He love it,My son been waiting on this game for a long time. But he got it now and he love it.,yes: I recommend this product,Verified Purchaser,1,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Big replay value,I'm in love with everything from this game and I appreciate the replay value as well. You can go back to a level and find new tasks/goals,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Retro,"Brings back so many memories, I absolutely love this game.",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Kids love it,"It actually looks crafty and there is so much to explore and you can
Make
Stuff in your house.",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi's Crafted World,"The cutesy graphics and creative levels definitely added to the child-like wonder and fun of the game. Even the creepier levels were cute, but still gave you goosebumps at the same time.",yes: I recommend this product,Verified Purchaser,1,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,"Awesome, Nothing too Over the top","I like the simple creativity, nothing too over the top just very creative. It’s sort of too easy so it’s something to pass time with. Overall a good purchase",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,The game,Fun imaginative and challenging at times great deal of replay ability,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Gotta get it!,Fantastic game! The level designs are inventive and memorable.  I haven't had this much fun with a game since the days of the NES/Genesis!,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Great fun for everyone.,This game is so much fun.  You can easily run though a level or you can take your time and find all the hidden things.  I love to play it and so does my daughter!,yes: I recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Nintendo Just KNOWS Fun!,"Typical, classic, Nintendo fun! Challenging? Not very. Enjoyable from beginning to end? Absolutely!",yes: I recommend this product,Verified Purchaser,1,1,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshis crafter world,"Super fun, a lot of challenges and game time. Since I bought it I haven’t put it down.",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Cute and fun,Not a hard game but a good one to relax and play after work.,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi crushes another one outta the park!!,"If you like yoshi, you can’t go wrong here. Game is a masterpiece and provides decent challenges for even the seasoned gamer.",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,More Yoshi fun.,More whimsical Yoshi fun that innovates on the last game without changing what we know and love.  A bit easy but still fun & heartwarming.,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi’s Crafted World,"Fun game, but too short.  Beat the game after only three days of casual play.",yes: I recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Great Game!,Yoshi’s Crafted World is fun and a bit challenging.  My 10-year-old loves it and I can play it with him.  Yoshi!,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Beautiful game but a bit overpriced.,"Really adorable game with an imaginative landscape. This game is cute and colorful and fun for all ages. Collectibles could be a little more satisfying however, it doesn’t ruin the game. Developers did a great job but the game should be priced about $20 lower.",yes: I recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Don’t miss this if you like platformers!,"A fun platformer with charming visuals, interesting puzzles, and a good level of difficulty!",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Great game for kids and adults,An extremely fun game not only for my little sister but for me too! Easy enough for her to enjoy but it has some challenges that allows me to have fun as well.,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Not a good game,"I loved Yoshi’s Wooly World, but this game came across as very childish and no real goal that you are trying to reach.",No: I don’t recommend this product,Verified Purchaser,1,6,2 years ago,1.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,I love it!,"There's so much replay value with this game.
Going back and forth between each level, finding every nook and cranny 
in between each secret is so satisfying.",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi has never been better.,Awesome game.  Little less challenging but that doesn't take away from the enjoyment of the game.  Highly recommend if your into Yoshi island style games.,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Easy but fun,Great game but kind of easy compared to Yoshi’s island,yes: I recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,A fun single player game,Single player is tons of fun. Nothing sticks out as being bad other than being a little too easy for mature gamers. Co-Op is a jumbled mess of accidentally getting  stuck on people and losing your eggs unpredictably.,No: I don’t recommend this product,Verified Purchaser,0,1,2 years ago,3.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,It do like be so it be good,"Pretty fun typical Yoshi game that offers more variety than usual, still not Yoshi’s Island levels but pretty good nonetheless. Worth my money.",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,"Cute, crafty fun!","Once you get past the cuteness factor of the game, you'll find a very fun gameplay experience. Controls seem very responsive, and the 2 player mode is loads of fun and laughs. Great game to introduce a young child to gaming. A great addition to the Yoshi themed game library.",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Surprisingly fun,I haven't been a huge fan of the series since it is a easier version A Mario title but this game has been surprisingly fun,yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,You won’t be disappointed if you’re a Yoshi fan!,"It’s so cute. I love Yoshi.  This version is built using craft materials and can get quite challenging!  I love how detailed the graphics are! Fun, fun, fun!",yes: I recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Great game and fun,Great game and fun but unlocking different types of Yoshi’s with yarn in the last game was a lot better than the costumes concept.,No: I don’t recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Supreme Commander 2,Square Enix,So where is the GAME?,"Got my package, installed it and got a STEAM POWERED program that starts itself every time I start my computer [no option to turn that off] and emediately takes me to thier online site with only options to buy games. The was NO GAME on the disk. No information saying that it is an Online game only [no information saying it is even an online game on thier site.] I tried to check out the Forums, registering for thier forum kept takeing me to other sites. These other sites required me to reister. This repedative nonsence went on for 4 diff registration that finnaly returned me to the STEAM forums. Unfortunately I still wasn't allowed to access thier forums.  No tech support, no contact information ,no game.. No reason to even consider getting this product.",No: I don’t recommend this product,,3,16,11 years ago,1.0,3.4091,22
Supreme Commander 2,Square Enix,This is the WORST SC game peroid!,"I own both Supreme Commander and Forged Alliance and find both games superb. When i head there was a Supreme Commander 2 coming out of course I ran right out and got it. I can honestly say this is one of the worst war games period. My reasons include the fact you must unlock a LOT of stuff to even consider playing the quick battles. There's only 6 maps, yes i said 6. The fact you cant even choose what side you want to be on until you unlock the ability, and the WORST part is you cant even see a simple overview of the maps when you are selecting them your basically better off throwing darts at your comp screen to decide what your gonna do rather than actually getting to decide anything at all about the battle ahead. The point I'm making here is don't Waste your money... This game isn't even worth getting if it cost 2.50.",No: I don’t recommend this product,,1,9,11 years ago,1.0,3.4091,22
Supreme Commander 2,Square Enix,dont touch it? i think i will,"played it today and i've never played a better RTS. im lovin it every step of the way and although its a little bit more 'cartoonish' than the last one, its still definatly a fun epic story lined game. it beats AoE, UaW, and matches EtW, and C&C. i really love playing it and my slightly old system can handle it perfectly. i was a little disappointed, i though the requirements would be a little higher and i definatly see a decrease in the quality. overall, 8 out of 10. AWESOME game. right now, im a little concerned with the new unit the cybranasourus rex (yeh, i probably spelled that wrong) it seemed a little like an out of place character to be put in the game. its still a pretty cool unit and theres so much more upgrade. the most important is the eco that they had. the last one sucked and was full of glitches. this one is MUCH more stable, its brings the good parts of halo wars and not the sucky parts (because seriously, halo wars sucked) buy NOW",yes: I recommend this product,,5,0,11 years ago,4.0,3.4091,22
Supreme Commander 2,Square Enix,Another Dissapointment of 2010 Gaming,"The frist two games of this year that I was waiting for were Supreme Commander 2 and C&C4. Both are god awful. Supreme Commander 2 is missing the best elements and nuances of it's two predecessors. I actually think that TA was the best of them all. Sad that games just get worse and worse as they come out with new titles. What happened to the unit types??!! There is not nearly as many unit types as SC or TA. Plus, what happened to the recycling of plants and rocks... the environmental resources you could live off until you got your resource production up and running? And why are there so few multiplayer maps?  I have an idea. Take the Total Annihilation engine, give it some new graphics,new sound, a new story line and new unit types... and don't change anything else...",No: I don’t recommend this product,,2,3,11 years ago,2.0,3.4091,22
Supreme Commander 2,Square Enix,Sorry I'm having a hard time speaking its so Awesome!!,"Don't know what the other guys here are talking about, the game is great, ya sure they took out some of the things the sup com pros loved, but the thing is, more people want to play RTS so you can't expect a newbie to grasp every concept of the game, unlike the pros. If they left some of the things from the old sup com in, it would be so unbalanced it wouldn't been as fun to play for the newbies.  Alright so lets get down to buisness, the storyline is great and the graphics blow sup com 1's out of the water, while supporting older computers that don't have as good of processors or graphics card. Win, Win situation. At least thats what I think, and that is why you're here isn't it ??   They added a new research screen to simplify it and added a whole bunch of new features like building add ons and new experimentals. FYI to all aion illuminate fans, they don't have naval anymore. I know, ouch right? Well I think we'll live.  On to sound. They did a really good job with the music this time, its about 10 times better than sup com 1 and the sound effects really match up and exceed what you think they will sound like, when lets say someone gets blown up by a nuke or someones commander goes into meltdown.  For all those hard core gamers out there, the 10 hour battles have gone away, I know, sad right? Well they replaced with a shorter even fiercer model of online game play, that really seems to fit, and when I mean shorter, I mean average of two hours. You can still build those big armies just faster. One thing I wanna finish up with is the Interface. They kept a lot of the interface from sup com 1 and FA, but also added the research screen which I talked about earlier. It works like this: You need research points to buy any sort of research upgrades and those research points automatically come along, but you can build research facilities that increase the speed at which you get them. You can spend research points on things like, personal shields for your units, or new buildings, sight upgrades, radar upgrades, and new schematics for buildings and units. Big FYI for all those 360 gamers lookin at this. The 360 version of this game is just as good if not better than the PC version.",yes: I recommend this product,,3,1,11 years ago,5.0,3.4091,22
